Text,Label,text_cleaned
Today in Selfcare: beauty &amp; laughs Kung Fu Panda 3 #Wellness #joy #laughter #selfcare #therapist #philadelphia,0,today selfcare beauty amp laugh kung fu panda wellness joy laughter selfcare therapist philadelphia
I get to spend New Year's home again alone and lonely. ???• ,1,spend new year home lonely
"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1,depressed lonely stuck deep ending hole
"If this is your response to someone saying they're dealing with , you're a terrible person.  ",0,response saying dealing terrible person
Apparently you get a free pass just by mentioning    Where was I on the free badge day??!!,0,apparently free pas just mentioning free badge day
When you will never again give birth to violent men..   pic.twitter.com/pkdPhhlUuZ,0,birth violent men
Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1,learning pretend good time natural skill hope day genuine
Aw man im outta pizza rolls ,0,aw man im outta pizza roll
When you go out and try to be a part of life & end up feeling like you are less a part of it then when you started.   pic.twitter.com/J625NXrWDb,0,try life end feeling like started
So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1,far stop texting meafter said somethingso hopefully doe not house
Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0,portable transparent tobacco rolling machine
*sigh* ???? I haven't cried so much…I'm in so much pain…,1,sigh not cried muchi pain
Our last group of 2016 was our new  project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona,0,group new project even relevant time year laid welcoming festive food
@MargoGray48 @waff48 @trentnews @katcampbellwx Good morning Margo! We are😀have a terrific Tuesday dear,0,good morning margo arehave terrific tuesday dear
I'm so  that I dropped my phone in the toilet.... I'm no longer  for now....  ugggh,0,dropped phone toilet longer now uggh
"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",0,snap streak not amazing not know commitment
Carly &amp; Theo Blair! Carly was camera shy but still enjoyed playing with her brother here at The Dog House Pet Resort!,0,carly amp theo blair carly camera shy enjoyed playing brother dog house pet resort
"If optimism is the ??—� to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",0,optimism success achieve outlook positive thinking excuse failure
Thank god the last presentation is over! âœŒ tomorrow is our last day at uni this year. We really need a few days off.  ,1,thank god presentation over tomorrow day uni year really need day off
Plum Blossom Patterned White Ceramic Smoking Pipe  ,0,plum blossom patterned white ceramic smoking pipe
"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",1,no not wouldepressed weather depressed depression sicknotweak
should of just slept through this charger game ,0,just slept charger game
You got me w that one @AmazonPrime ! New #theTICK trailer is #hilarity,0,got w new thetick trailer hilarity
Very sad day in Edmonton!  Praying for all who lost their lives.  ,1,sad day edmonton praying lost life
"@na_dirs Omg you're savage prof, this is hilarious 🤣🤣",0,omg savage prof hilarious
It's been a strange year. I beat  at last. I started 2 believe that  it really is2017 I'm ready ???…,0,strange year beat last started believe really is ready
Losing my uncle after the wedding its just....I dunno ,1,losing uncle wedding justi dunno
If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,0,youre youre living past youre youre living future youre youre living present
Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1,care real life care here gonna stop sharing nightmare people worried like actually helping person out
Saturday nigjt watching this is england 90,0,saturday nigjt watching england
"""I'm telling you, the  eats you alive""",0,i telling you eats alive
@TheSocialCTV I'd never leave the couch again! #excited and #weary ❤️,0,leave couch again excited weary
Today is already off to a great start..... 🙄 ,0,today great start
" is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1,dangerous addicting peaceful is dont wanna deal
"My wish for 2015 is that no one suffering from  should EVER feel alone. That they would receive help, love, support & kindness.",0,wish suffering feel alone receive help love support kindness
"@WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was, so you did get a laugh out if me. \n😀",0,heehee did chuckle saw actually wa did laugh me n
  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1,come value life feel like born way seeing self value
@honeyfriess Now that's a #HappyThought to start your week!,0,happythought start week
Once a flirty always a flirty  .,0,flirty flirty
"Sometimes I want to apology just to make things better.  I have nothing to apologize, very opposite of that, I deserve an apology.  But my heart smells of loneliness and desperation...  ",1,want apology just make thing better apologize opposite that deserve apology heart smell loneliness desperation
Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,0,hello everyone you sinong excited na live show hahaha not worry
Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1,kicked kerb big company quest decent job
I really got a hair cut last night  ??,0,really got hair cut night
"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",0,just paracetamol antipyritique anawer correctly nerve shame
is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,0,news lot treating condition it contact learn more
"@FairtradeUKNews @adamawine Wishing you a joyful day with great food, wine and company 👌",0,wishing joyful day great food wine company
Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0,heard person detailing branded cloth arrogantly today sounded like wearing instead cloth
It's a #blessing to love it's a blessing to have someone to love,0,blessing love blessing love
Good nite.                                         ,0,good nite
It is the first purpose of  to make  bearable. Robert Brault,0,purpose make bearable robert brault
@whounfollowedme - I'm #very #glad to see You in my community !,0,glad community
"Gene Simmons, Ph.D. offers mental wellbeing to  souls. ",0,gene simmons phd offer mental wellbeing soul
"@J_UGO_ @TopPlanet63 Vestiti Black and White, stile blues Brothers",0,vestiti black white stile blue brother
I've come to the realization that my phone isn't going to make it through the day. ,1,come realization phone not going make day
Michael has been in bed all day barely functional from car +bad cold I have one  Katman :-(,0,michael bed day barely functional car bad cold katman
Absolutly shocking service from @bookingcom especially when owed £327 Expected better from a comp Ive dealt with 4 yrs #unhappy #badservice,1,absolutly shocking service especially owed expected better comp ive dealt yr unhappy badservice
@Orin_Atlantis 'I am much more cheerful when you are around',0,i cheerful around
One of my best friends got engaged ????  ,0,best friend got engaged
"today I died to a mech in fortnite I'm  and , going to blAcK ouT my profile picture smh my head",0,today died mech fortnite going black profile picture smh head
I forgive everyone. It's rare for me to hold a grudge.,0,forgive everyone rare hold grudge
2 more weeks! 😮😊  #painfree,0,week painfree
The  in the NPP is deeply rooted because of Nana Addo's divide and rule style of slave 'mastership',0,npp deeply rooted nana addo divide rule style slave amastership
@hymie094 Me too.....without hesitation.,0,toowithout hesitation
I'm so ready to take off my sneakers. They hurting me 😭,1,ready sneaker hurting
"People bring you down. Love fails from time to time. You get lost, then can't find your way.   ",0,people bring down love fails time time lost way
!!   2016 officially the worst year in history!!! ,0,officially worst year history
"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1,journey youtuber not easy me walk purpose fix me record it edit it post ai not easy person needed message not hater
I just don't want to participate anymore.,1,just not want participate anymore
"Quote of the day comes from Queen Cersei herself @IAMLenaHeadey 'Power hungry people are fearful, otherwise why wouldn't you just chill?' 👏",0,quote day come queen cersei power hungry people fearful not just chill
"@mandzvester 😂😂😂\nThats why I work on my own, to many miserable fok around 😂\nAfternoon Smiley😃x",0,nthats work own miserable fok nafternoon smileyx
"John 14:27\nLet not your heart be troubled, neither let it be afraid. #peace #afraid",0,john nlet not heart troubled let afraid peace afraid
It's now raining and I can hear thunder growl somewhere. Good day to read some more.,0,raining hear thunder growl somewhere good day read more
Gonna find my baby gonna hold her tight gonna grab me some afternoon delight,0,gonna baby gonna hold tight gonna grab afternoon delight
"@johntassparker Well, at the time, I think there was that concern. Now it is all bright and shiny with a price tag to match.",0,well time think concern bright shiny price tag match
The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1,incredible dr david feifel i not alive not man amazing person
 to combat  make your bed in the AM so you're less inclined to get back in it & stay there all day.,0,combat make bed inclined stay day
"@KatRamsland 'call to action by TV host John Oliver, who urged viewers to leave comments expressing their displeasure at the FCC's policies.",0,call action tv host john oliver urged viewer leave comment expressing displeasure fcc policy
"""Anxiety is like a tornado, the most violent, horrific, and destructive atmospheric phenomenon""  ",0,anxiety like tornado violent horrific destructive atmospheric phenomenon
@SatisfyingTaste @TheAnimalVines I used to make the peanut butter energy balls all the time. My famjam loved them! #recipes #yummy,0,used make peanut butter energy ball time famjam loved them recipe yummy
"@Kara1818 I’m glad to hear that, Kara. Don’t hesitate to get in touch again if you need to! Cheryl",0,glad hear that kara not hesitate touch need to cheryl
Anohni's  is the underrated album of the year.,0,anohni underrated album year
This Wednesday @ChandlerBMusic #kickstarter begins! Y'all be READY! #ChandlerBayMusic #ChandlerBayEP #tantrum,0,wednesday kickstarter begin yall ready chandlerbaymusic chandlerbayep tantrum
Honestly can’t trust anyone at this point. ????,1,honestly trust point
"?????????? 10 ???????? ??????????, ???????? ??????, ??????! how can I understand that shit??? why is that so fast? ????  ",1,understand shit fast
@DOBrienAJC What did you do to rile up all the Roberts?,0,did rile robert
@huedrinkwater happy birthday cuzy xxx,0,happy birthday cuzy xx
Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,0,not frown chasing dream remember chasing too humility
"No mater how many times you lose in a game, it will always tell you ""try again""... When things go sideways, sit back and enjoy a favorite game.   ",0,mater time lose game tell try again thing sideways sit enjoy favorite game
"We are open all through this  for info, advice or even a chat: 0800 4 70 80 90    pic.twitter.com/0g6kGdIoPI",0,open info advice chat
"So close to  just wondering why in feeling so  ""'tis the season to be Jolly""",0,close just wondering feeling notis season jolly
@emaalymaae Looks beautiful 😘,0,look beautiful
Why are people on twitter so depressing...,0,people twitter depressing
"So excited for tonight, I actually feel a bit sick 😅",0,excited tonight actually feel bit sick
Oh sorry I'm on your bestfriends list?   ,0,oh sorry bestfriends list
