Text,Label,text_cleaned_ecpe
I get to spend New Year's home again alone and lonely. ???• ,1,I get to spend New Year is home again alone and lonely. ??
"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1,"Depressed and lonely /: Stuck in a deep, never ending hole"
Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1,Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine
So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1,So far he stop texting meafter I said somethingso hopefully he does not show up at my house
*sigh* ???? I haven't cried so much…I'm in so much pain…,1,*sigh* ?? I have not cried so muchI am in so much pain
Thank god the last presentation is over! âœŒ tomorrow is our last day at uni this year. We really need a few days off.  ,1,Thank god the last presentation is over! tomorrow is our last day at uni this year. We really need a few days off.
"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",1,"No, I am not wouldepressed because of the weather,' I am depressed because I have depression sicknotweak"
Very sad day in Edmonton!  Praying for all who lost their lives.  ,1,Very sad day in Edmonton! Praying for all who lost their lives.
Losing my uncle after the wedding its just....I dunno ,1,Losing my uncle after the wedding its just..I dunno
Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1,Nobody cares in real life and nobody cares here. I am gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.
" is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1,"is dangerous. Its addicting. Once you see how peaceful it is, you dont wanna deal with"
  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1,How come I see no value in my own life..? It feels like I was born this way; seeing no self values.
"Sometimes I want to apology just to make things better.  I have nothing to apologize, very opposite of that, I deserve an apology.  But my heart smells of loneliness and desperation...  ",1,"Sometimes I want to apology just to make things better. I have nothing to apologize, very opposite of that, I deserve an apology. But my heart smells of loneliness and desperation.."
Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1,Been kicked to the kerb by a big company yet again in my quest 4 a decent job
