Text,Label,text_cleaned
All the bright places \n#movie💯😍,0,bright place n movie
Some days I don't feel like I'm giving my 2 enough ?? I'm not loving them enough hugging them enough telling them how much I love them Enough! And it really upsets me to feel a failure at the one thing I should get so right and it often feels so wrong. Hurts alote,1,day not feel like giving not loving hugging telling love enough really upset feel failure thing right feel wrong hurt alote
It's only 7:20pm and I'm off my tits on alcohol   ,1,pm tit alcohol
sorry if i dont reply to dms/texts iiiiii have only been talking to ry and soph bc i feel  depressed so. Yeah ??????,1,sorry dont reply dmstexts ii talking ry soph bc feel depressed so yeah
I wish the best to those dealing w/ an internal struggle like mine. I know how hard it can hit at times.Depression hurts.,1,wish best dealing w internal struggle like mine know hard hit timesdepression hurt
how do people cry happy tears? i guess i’ve never really been truly happy?,1,people happy tear guess really truly happy
i love his smile,0,love smile
I'm feeling a little down.. Time for bed.   ,1,feeling little down time bed
Feeling a lil joyless & miserable now tho ???© ,1,feeling lil joyless miserable tho
I think I have hit rock bottom as a  fan.... ????,0,think hit rock fan
Out drinking by myself self got that  feel today bois,1,drinking self got feel today bois
"Is everyone else in the world a  idiot, or am I wrong THAT often? ",1,world idiot wrong often
"Today is just not a good day, looks like 2014 couldn't end without giving me a final kick in the ass ",1,today just not good day look like not end giving final kick as
Being extremely  over my other half agreeing to divorce instead of coming to peace then someone asks if I'm okay....  pic.twitter.com/fgpQKQwhYw,1,extremely half agreeing divorce instead coming peace asks okay
omg they said kyungsoo looked gloomy and his instant smile after that i'm melting,0,omg said kyungsoo looked gloomy instant smile melting
"i hate getting so sad to the point where my body completely shuts down, and all i can do is just lay and think about all my problems. ",1,hate getting sad point body completely shuts down just lay think problem
i just need for someone to rub my head tonight ...,1,just need rub head tonight
I wish life was simple and painless. Whenever you think you're happy and think you got it all  life comes and screws you over.,1,wish life simple painless think happy think got life come screw over
They say ur a prdct of ur surroundings. A bit intimidated by the crazy amazing ppl I met @ @codecityco @n8walke @dianap_patton @DrMattKutz,0,say ur prdct ur surroundings bit intimidated crazy amazing ppl met
"I'm now casting for potential  for my ""Learning to swim"" photography project about .  pic.twitter.com/rnJp6UX2eV",0,casting potential learning swim photography project
"I'm very unhappy, I don't have a girlfriend, I don't have a Boyfriend and I don't Like where I live   ",1,unhappy not girlfriend not boyfriend not like live
//My TL dies in the afternoons.  I've followed about six gazillion people and still get about three tweets an hour.,0,my tl dy afternoon followed gazillion people tweet hour
"I have never experienced more of an emotional rollercoaster like I did with my  and  than I did yesterday. Not since I was at least 19. The guilt I feel today for how I treated my child is immense. These disorders are no joke. I'm sorry and I love you, Bug.",1,experienced emotional rollercoaster like did did yesterday not guilt feel today treated child immense disorder joke sorry love you bug
"â€œ@JamieLOVEHarris: is the sun ever gonna shine again? â€� YES, it WILL! :)",0,sun gonna shine again yes will
"Both addictive romantic relationships and toxic friendships leave us lonely. When we are always engaged in power struggles, there is no chance for real connection.   ",0,addictive romantic relationship toxic friendship leave lonely engaged power struggle chance real connection
"With ageing populations at risk of  and  (and depression's myriad health effects so higher healthcare costs), as well as rising childcare costs, approaches like intergenerational care seem beautifully cost efficient and solve 1 problem with another problem. pic.twitter.com/QouBTSRhR6",0,ageing population risk and depression myriad health effect higher healthcare cost rising childcare cost approach like intergenerational care beautifully cost efficient solve problem problem
Were starting an @insecurehbo club at my job. Every Monday we must be caught up on required watching. @opjumpstartlb @IssaRae ,0,starting club job monday caught required watching
"Rejoice always, #pray continually, #givethanks in all circumstances; for this is God’s will for you in Christ Jesus. 1 Thess. 5:16-18 #joy",0,rejoice always pray continually givethanks circumstance god christ jesus thess joy
Wish I had took holidays instead of being at work ,1,wish took holiday instead work
My Worse Fear About This Whole Thing Has Cane True.???” ,1,worse fear thing cane true
Just hoping that 2015 will be better. That would be great.   ,1,just hoping better great
Michelle Obama's Feelings of  are a Bellweather for the country: It Tells us We are Moving in the Right Direction!  ,0,michelle obama feeling bellweather country tell moving right direction
Starting to feel really anxious and sad and empty. ,1,starting feel really anxious sad empty
"Silently screaming for help inside, wanting to die and wishing someone would see and help me   ",1,silently screaming help inside wanting die wishing help
I'm actually crying because I don't want to return to work on Friday. ,0,actually cry not want return work friday
"And yet again, @MarliePacker sets the back row bar high... Tackling and support play outstanding. Congrats on your 50th cap! #inspiring",0,again set row bar high tackling support play outstanding congrats th cap inspiring
"I thought this was supposed to be a happy time of year, but honestly this is always the most depressing time of the year. ",0,thought supposed happy time year honestly depressing time year
@Retale It would be #awesomeness to win this for my 2 girls.,0,awesomeness win girl
@mandersonmsp84 @jamadoria I'm in tears. This is so heartbreaking 😭,1,tear heartbreaking
when you try your best but you don't suceed!!!😞😭😭😰😰😢😢#Sad #alone #tears #b #bored #boredtodeath,1,try best not suceed sad tear b bored boredtodeath
Jus when something makes you happy it fucking puts you right back in your place ,1,jus make happy fucking put right place
idk what to do with this acc - #…  pic.twitter.com/uOmcxfhKxk,0,idk acc
"Older  people may have cognitive symptoms of recent onset, such as , and a more noticeable slowing of movements.",0,older people cognitive symptom recent onset noticeable slowing movement
I love Christmas but this year it just isn't the same... I can't figure out what it is either... ,0,love christmas year just not same figure either
hate being alone man. alone in life alone in my head it just sucks,1,hate man life head just suck
Sleeping with my dog for the last time b4 the trip ,0,sleeping dog time b trip
I'm now jealous of Georgia Southern. Welcome to my life as an FAU fan.,0,jealous georgia southern welcome life fau fan
"I'm okay.  , Thank you for staying when everyone else left.",1,okay thank staying left
@LadyScully I didn't. We all went out and got pissed down the local instead. 😄,0,did not went got pissed local instead
Biggest regret till now -  Ageing beyond teens!  ,1,biggest regret till ageing teen
Mentally suffered #iwanttodie #worthless #lifewithoutcolor  #pain #suicidal,1,mentally suffered iwanttodie worthless lifewithoutcolor pain suicidal
Being lost in my own mind   ,1,lost mind
Welcome to our new follower @RahmanAccess Have a #wonderful Tuesday!,0,welcome new follower wonderful tuesday
I hate not having a job. ,1,hate not having job
I have exactly one more month to enjoy being in my 20's.   ,1,exactly month enjoy is
"@MartinPincot Haha @MartinPincot -  just sent a sext to the vicar with a holy, holy, twist --- My bad 😂\n \n#Fun #joy #laughter \n👿 ..... 😇",0,haha just sent sext vicar holy holy twist bad n n fun joy laughter n
So much for riding September October. Minimum November so let's just say done for the year??,0,riding september october minimum november let just say year
"@morrgancatt you dont have a bad smile at all, you should smile more often and share your smile with all your fans",0,dont bad smile all smile share smile fan
"When I'm at work and depressed dont say ""you look unhappy"". I'm here and working, what next you'll go to Disney world  and tell little kids that that it's not the real character. I'm doing my best, don't shatter my illusion.  ",1,work depressed dont say you look unhappy working disney world tell little kid not real character doing best not shatter illusion
Feeling #adorable in my WalMart pajamas. #JenniMiller #JenniMiller29 #louiselinton,0,feeling adorable walmart pajama jennimiller jennimiller louiselinton
"Whenever u have a bad day, just remember that there's a bitch stalking you like it's their religion just to see if ur happier than them 😘",0,u bad day just remember bitch stalking like religion just ur happier
Being sun deprived in an office for 9 hours a day is keeping me from my old blonde days ,0,sun deprived office hour day keeping old blonde day
Laying in bed listening to Christmas music...,0,laying bed listening christmas music
Gonna find my baby gonna hold her tight gonna grab me some afternoon delight,0,gonna baby gonna hold tight gonna grab afternoon delight
"Only difference being that now I hurt more than so, because  led me to vertebral, sacral, radial fractures. GG N1 2016.",1,difference hurt so led vertebral sacral radial fracture gg n
I made a joke &amp; my boyfriend laughed but when I looked over he was actually laughing at a video on his phone #sad #&lt;/3 #hurting #brokenheart,1,joke amp boyfriend laughed looked actually laughing video phone sad lt hurting brokenheart
"how they seemed to be trying to get people who ask me to block them, but I'm guessing it would be more like ",0,trying people ask block them guessing like
We are drowning in company but dying for companionship.,0,drowning company dying companionship
"Guys, I have nothing to live for. I am tired of living here. Even my friends couldn't cheer me up.   ",1,guy live for tired living here friend not cheer up
That feeling when everyone is just giving up on you but you're still fighting for them...argh  ,1,feeling just giving fighting themargh
"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",0,snap streak not amazing not know commitment
Found out something today apparently im a bad person???? ,1,today apparently im bad person
Edge of my seat @GameOfThrones loved it #dragonsontheWall ,0,edge seat loved dragonsonthewall
Finished gossip girl. Feeling   & ,0,finished gossip girl feeling
Wooo so happy right now! Just bought my tickets to see @NiallOfficial next summer in Dublin.Can't wait 😁 #niallhoran #Dublin #music ,0,woo happy right now just bought ticket summer dublinca not wait niallhoran dublin music
"Well that's that, seeing my way out of this shitty yr,with a shitty night in bed,feel ill still and miserable... ???°???°???°???©",0,that seeing way shitty yrwith shitty night bedfeel ill miserable
I feel so fucking alone tonight I just don't even care about living right now.,1,feel fucking tonight just not care living right now
Why is it when girls got broken they cut their hair?   depression always got me here i ??,1,girl got broken cut hair depression got
"✩ We're happy, free, confused, and lonely at the same time\nIt's miserable and magical\n¤",0,happy free confused lonely timenit miserable magicaln
Love that character     pic.twitter.com/uRCSKr2or8,0,love character
"5,877 #impressions over the last 24 hours. I've had an insightful #pleasure enlightening you all today, I hope I have been of #service. #USA",0,impression hour insightful pleasure enlightening today hope service usa
"this is one of those nights where I just want to get in my truck & drive, & think. .? ????",0,night just want truck drive think
@Kazalex_ Happy birthday hope you have and amazing day!,0,happy birthday hope amazing day
   i want to flashback and skip 2016,0,want flashback skip
I have 2 cuts on my lips and I can't eat spicy food b/c it burns  :'/,0,cut lip eat spicy food bc burn
I think I have post gay weekend blues... so I bought a dildo 👍🏻,0,think post gay weekend blue bought dildo
#happiness is a by- product of an effort to make someone else #happy.  - Gretta Brooker Palmer,0,happiness by product effort make happy gretta brooker palmer
Maybe I won't see 2017. I don't know.   ,1,maybe not not know
"When I say ""I want to die"", they say""Let's do it, no one gonna care you anymore"" It's make me feel pity of my life more. I just want someone to hug me when I cry. But it not gonna happen.""",1,say i want die saylet it gonna care anymore make feel pity life more just want hug cry not gonna happen
Always sad on New Year ???’ Diff time of year 4 lot ppl. Always the hope the next year will b better.  wd b nice 2  ,0,sad new year diff time year lot ppl hope year b better wd b nice
 is part of nature's survival system explains my guest John Shearer.,0,nature survival explains guest john shearer
Being on FaceTime to Chloe when sum1 dies on prison break and she goes into a full on emotional breakdown hahaha,0,facetime chloe sum dy prison break go emotional breakdown hahaha
"Despite being physically very unwell this past week, I am mentally feeling very strong right now. Genuinely excited by the opportunity to kick on now and make the most of life. Overcoming  one step at a time.",1,despite physically unwell past week mentally feeling strong right now genuinely excited opportunity kick make life overcoming step time
Well that's the car handed back. ,0,car handed back
I feel so   and a tad  but I'm afraid to call a friend :(,1,feel tad afraid friend
very depressed rn... just got done crying my eyes out again:/ but feeling very masculine rn...    pic.twitter.com/nLb1sEozuU,1,depressed rn just got cry eye againbut feeling masculine rn
Your smile could never make me frown.,0,smile make frown
@joerogan I looked at the eclipse without glasses and now I have x-ray vision! #awesomeness,0,looked eclipse glass xray vision awesomeness
watching my sister's keeper this late was not my best idea ,0,watching sister keeper late not best idea
"being an entrepreneur at 18 is a real blessing 🙏🏼 the flexibility, doing what you love, and being the one in charge is #great #blessed",0,entrepreneur real blessing flexibility doing love charge great blessed
There are recipes for #porkchops w apple cider glaze but has anyone tried the meat steeped in the vinegar &amp; #BBQ w hickory smoke? #delicious,0,recipe porkchop w apple cider glaze tried meat steeped vinegar amp bbq w hickory smoke delicious
Thank you  for highlighting “ as an Epidemic”.  We humans are pack animals and not meant to live in isolation. We don’t have the speed of jaguars or the strength of gorillas but we do have social connections skills. We need each other to survive.  pic.twitter.com/FR89506MZ7,0,thank highlighting epidemic human pack animal not meant live isolation not speed jaguar strength gorilla social connection skill need survive
"Makeup on, comfy yet nice looking jeans and top on. Ok, we can do this.   ",1,makeup on comfy nice looking jean on ok this
I am so forlorn there are no words to express it accurately......,1,forlorn word express accurately
"6+ yrs of saving & my eye sight staying the same, i was excited for ... Just found out; im not a candidate.  very ",1,yr saving eye sight staying same excited just out im not candidate
So I’m trying to help myself. To understand my depression. I’m reading a book named The Chimp Paradox. Amazing book but I’ve a lot of therapy to do ?? Brain training. I’ll get happy.,1,trying help myself understand depression reading book named chimp paradox amazing book lot therapy brain training happy
It's time like this that the lord is testing me and I just want give up. Just kill me now!   ,1,time like lord testing just want up just kill now
"I hate Twitter. Anyone  or  today, here are my . pic.twitter.com/q6kKhO7MCR",0,hate twitter today
Rise and shine #alarm #autotweet,0,rise shine alarm autotweet
When the male elves on lord of the rings have better hair than you... ,0,male elf lord ring better hair you
too soon for drinks. Ice cream and a movie  read bad reviews but will the lead get another oscar???,0,soon drink ice cream movie read bad review lead oscar
I'm the most  person whn i am at home i guess..cuz thn u huv enough time to think abt all the nonsense!!,1,person whn home guesscuz thn u huv time think abt nonsense
"Psalm 2:12 Kiss the Son, lest He be angry, And you perish in the way, When His wrath is kindled but a little.",0,psalm kiss son lest angry perish way wrath kindled little
Done absolute fuck all the last 2days ,1,absolute fuck day
Welcome new followers @GibbonWa @Halmarun @CleanFaceSkin We will mostly be talking #happiness &amp; #ethicalfashion Happy to connect :),0,welcome new follower talking happiness amp ethicalfashion happy connect
"Being single is not that bad, you got time stay focus on your plans and goals, you don’t even have to deal with drama. Until 11pm hits and loneliness comes along ????   ",1,single not bad got time stay focus plan goal not deal drama pm hit loneliness come
Working on the day before new eve's day... Oh how I miss my childhood and those long christmas/new years breaks...,1,working day new eve day oh miss childhood long christmasnew year break
I'm kinda glad that I know about 2 to 4 people in all my classes that I can talk to #relieved,0,kinda glad know people class talk relieved
"We are all so much together, but we are all dying of loneliness. â€”Albert Schweitzer   ??¤”???”",0,together dying loneliness albert schweitzer
Wait... I can't believe I've  manga in hiatus  since +/- 2010.... ,0,wait believe manga hiatus
Having depression is just like hell!!! Omg    pic.twitter.com/AeMNWwFdg8,1,having depression just like hell omg
I feel depressed when I see Elites taking a piss on all of us then MSM telling us It's raining with a straight face  ,0,feel depressed elite taking piss msm telling raining straight face
"Live in the present, live in the now!     pic.twitter.com/uBd53HFV3z",0,live present live now
People with depression are 4x more likely to have a heart attack ,0,people depression x likely heart attack
Can't believe this Christmas is going to be a repeat of last year.,1,ca not believe christmas going repeat year
I don't know but today is such a bad day. So much is floating around in my head and I don't wanna do anything. Just wanna lay in bed and cry over how useless and worthless I am. I hate my,1,not know today bad day floating head not wanna anything just wanna lay bed useless worthless am hate
@Bemannn UGH I can't even contain my excitement!! 😍,0,ugh contain excitement
Need to get out of this godforsaken place  ,1,need godforsaken place
How did I become a virus? Awareness listening the great music by  ,0,did virus awareness listening great music
: this year was fuckd up I can't wait for it to be over I hated this year still depressed hard time getting over it  ???¢??????’” fuck,1,year fuckd wait hated year depressed hard time getting fuck
@Good_Therapy and @CounsellorsCaf are talking about #depression today! What's trending in your community?,0,talking depression today trending community
Working with alergies is the most miserable shit in the world #miserable #alergies,1,working alergies miserable shit world miserable alergies
Missing you this Christmas    pic.twitter.com/QfzTBKqHpz,1,missing christmas
