Text,Label,text_cleaned,text_cleaned_t2e_vader
I get to spend New Year's home again alone and lonely. ???• ,1,spend new year home lonely,I get to spend New Year is home again alone and lonely. ??
"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1,depressed lonely stuck deep ending hole,"Depressed and lonely Stuck in a deep, never ending hole"
Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1,learning pretend good time natural skill hope day genuine,Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine
So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1,far stop texting meafter said somethingso hopefully doe not house,So far he stop texting me after I said something so hopefully he doe not show up at my house
*sigh* ???? I haven't cried so much…I'm in so much pain…,1,sigh not cried muchi pain,sigh ?? I have not cried so much I am in so much pain
Thank god the last presentation is over! âœŒ tomorrow is our last day at uni this year. We really need a few days off.  ,1,thank god presentation over tomorrow day uni year really need day off,Thank god the last presentation is over! tomorrow is our last day at uni this year. We really need a few day off.
"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",1,no not wouldepressed weather depressed depression sicknotweak,"No, I am not wouldepressed because of the weather, I am depressed because I have depression sicknotweak"
Very sad day in Edmonton!  Praying for all who lost their lives.  ,1,sad day edmonton praying lost life,Very sad day in Edmonton! Praying for all who lost their lives.
Losing my uncle after the wedding its just....I dunno ,1,losing uncle wedding justi dunno,Losing my uncle after the wedding it just..I dunno
Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1,care real life care here gonna stop sharing nightmare people worried like actually helping person out,Nobody care in real life and nobody care here. I am gonna stop sharing my nightmare to people who are more worried about like than actually helping a person out.
" is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1,dangerous addicting peaceful is dont wanna deal,"is dangerous. It s addicting. Once you see how peaceful it is, you don t wanna deal with"
  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1,come value life feel like born way seeing self value,How come I see no value in my own life..? It feel like I wa born this way seeing no self values.
"Sometimes I want to apology just to make things better.  I have nothing to apologize, very opposite of that, I deserve an apology.  But my heart smells of loneliness and desperation...  ",1,want apology just make thing better apologize opposite that deserve apology heart smell loneliness desperation,"Sometimes I want to apology just to make thing better. I have nothing to apologize, very opposite of that, I deserve an apology. But my heart smell of loneliness and desperation.."
Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1,kicked kerb big company quest decent job,Been kicked to the kerb by a big company yet again in my quest a decent job
I've come to the realization that my phone isn't going to make it through the day. ,1,come realization phone not going make day,I have come to the realization that my phone is not going to make it through the day.
Absolutly shocking service from @bookingcom especially when owed £327 Expected better from a comp Ive dealt with 4 yrs #unhappy #badservice,1,absolutly shocking service especially owed expected better comp ive dealt yr unhappy badservice,Absolutly shocking service from especially when owed Expected better from a comp Ive dealt with yr unhappy badservice
I'm so ready to take off my sneakers. They hurting me 😭,1,ready sneaker hurting,I am so ready to take off my sneakers. They hurting me 😭
"This journey to become a YouTuber isn't easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ain't easy. I do it for the one person that needed the message not the haters.  ",1,journey youtuber not easy me walk purpose fix me record it edit it post ai not easy person needed message not hater,"This journey to become a YouTuber is not easy for me. I walk with a purpose to fix me. To record it, edit it, then post it for all to see ai not easy. I do it for the one person that needed the message not the haters."
I just don't want to participate anymore.,1,just not want participate anymore,I just do not want to participate anymore.
The incredible Dr. David Feifel and I. Wouldn't be alive if it wasn't for this man! Such an amazing person!    pic.twitter.com/UW3p1yD9EZ,1,incredible dr david feifel i not alive not man amazing person,The incredible Dr. David Feifel and I. Would not be alive if it wa not for this man! Such an amazing person!
Honestly can’t trust anyone at this point. ????,1,honestly trust point,Honestly cannot trust anyone at this point. ??
