Text,Label,Score,text_cleaned
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door. #angry #mad ##,anger,0.938,fuk heck moved fridge knock landlord door angry mad
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.8959999999999999,indian uber driver just called n word not moving vehicle jumped disgusted
@DPD_UK I asked for my parcel to be delivered to a pick up store not my address #fuming #poorcustomerservice,anger,0.8959999999999999,asked parcel delivered pick store not address fuming poorcustomerservice
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed #angry #upset #tired #sad #tired #hangry ######,anger,0.8959999999999999,ef whichever butt wipe pulled alarm davis bc sound asleep pissed angry upset tired sad tired hangry
"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! #fuming",anger,0.8959999999999999,not join phone you talk rude taking money acc willynilly fuming
My blood is boiling,anger,0.875,blood boiling
When you've still got a whole season of Wentworth to watch and a stupid cunt in work ruins it for us 😭😭 @__KirstyGA #raging #oldcunt,anger,0.875,got season wentworth watch stupid cunt work ruin raging oldcunt
"@bt_uk why does tracking show my equipment delivered, when it wasn't? Why is my service suddenly delayed? We've already 3 weeks. #fuming",anger,0.875,doe tracking equipment delivered not service suddenly delayed week fuming
"@TeamShanny legit why i am so furious with him, people are such fucking idiots.",anger,0.875,legit furious him people fucking idiot
How is it suppose to work if you do that? Wtf dude? Thanks for pissing me off. ,anger,0.875,suppose work that wtf dude thanks pissing off
im so mad about power rangers. im incensed. im furious.,anger,0.667,im mad power ranger im incensed im furious
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! #fuming,anger,0.8540000000000001,wont use using again guy right fuming
Bitches aggravate like what inspires you to be the biggest cunt known to man kind?,anger,0.8540000000000001,bitch aggravate like inspires biggest cunt known man kind
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages #raging",anger,0.938,doe come glasgow night working fucking gutted waiting appearance age raging
Fuking fuming 😤,anger,0.8540000000000001,fuking fuming
Zero help from @ups customer service. Just pushing the buck back and forth and promising callbacks that don’t happen. #anger #loathing,anger,0.8540000000000001,zero help customer service just pushing buck forth promising callback not happen anger loathing
@ArizonaCoyotes not to mention the GRA guy stops me but let's the 2 ppl in front of me go. WTF. My blood is boiling.,anger,0.8540000000000001,not mention gra guy stop let ppl go wtf blood boiling
"I hate my lawn mower. If it had a soul, I'd condemn it to the fiery pits of Hell.",anger,0.833,hate lawn mower soul condemn fiery pit hell
why are people so offended by kendall he ends photo shoot like seriously shut the fuck up,anger,0.833,people offended kendall end photo shoot like seriously shut fuck
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn ,anger,0.812,block posting storm think aware damn rain not quit damn
Making my buddy cry !! Bitch wait for revenge 🤗👌🏻,anger,0.812,making buddy bitch wait revenge
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! #insult,anger,0.8909999999999999,be not just tell true blooded hoopjunkie switch fc team juz destroyed team juz not insult
I got a NO RESPONSE again from an #irate customer of #amazon 😞😞\nwhy can't they understand that it's not always amazon fault..\n#carrierfault,anger,0.812,got response irate customer amazon nwhy understand not amazon faultn carrierfault
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick! #rage #wtf  #murder",anger,0.812,tasers immobilize taser fuck need shoot second later really sick rage wtf murder
"@LeKingCoq @MistaAggy @GiovanniiDC The way my blood is boiling, little bastards!",anger,0.792,way blood boiling little bastard
Actually fuming I have nothing to wear Saturday,anger,0.792,actually fuming wear saturday
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,straight people arse straight guy think mean threesome fine angry fuming
Bloody parking ticket 😒💸 #fuming,anger,0.792,bloody parking ticket fuming
You ever just find that the people around you really irritate you sometimes? That's me right now 😒,anger,0.792,just people really irritate sometimes right
I get so angry at people that don't know that you don't have a stop sign on Francis and you do at Foster #road ,anger,0.792,angry people not know not stop sign francis foster road
"This fuck you is boiling up inside, its not gonna be good when I let it out.",anger,0.792,fuck boiling inside not gonna good let out
@VodafoneUKhelp @VodafoneUK wow!! My bill is £44.77 and hav a text from u to prove that and you have taken £148!!!!! #swines #fuming #con!,anger,0.792,wow hav text u prove taken swine fuming con
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed ,anger,0.792,blame season natalie season different not turned alliance pissed
Since the 'update' my @iPhone loses power nearly 40% faster.  #furious,anger,0.792,update loses power nearly faster furious
@bringyouhome2 I'm about to fly into a fit of rage it's not FAIR,anger,0.792,fly fit rage not fair
Unbelievable takes 10 minutes to get through to @BarclaysUK then there's a fault and the call hangs up #fuming #treatcustomersfairly,anger,0.792,unbelievable take minute fault hang fuming treatcustomersfairly
@ggreenwald @SusanSarandon We are blaming 5% of the fucking idiots who are putting the World in the middle of their tantrums. You are one.,anger,0.792,blaming fucking idiot putting world middle tantrum one
@SunandBeachBum 'you people' infuriate me!,anger,0.792,you people infuriate me
@rtrn94 Mine is that the party did decide but the party has been slowly transformed into a vengeful hell-cult of white male resentment,anger,0.792,party did decide party slowly transformed vengeful hellcult white male resentment
So #angry about my @WishShopping order. 6 #months ago I placed an order of over $500. Card billed. Never #received \n#disappointing,anger,0.7709999999999999,angry order month ago placed order card billed received n disappointing
Still can't log into my fucking Snapchat#Snapchat #snap,anger,0.9,log fucking snapchat snapchat snap
@ThomsonCares Sam- yes we have! Not helpful at all! We need this sorting ASAP! You keep promising stuff that doesn't happen!!!! #fuming,anger,0.7709999999999999,sam yes have not helpful all need sorting asap promising stuff doe not happen fuming
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM #rage #HuckFP2",anger,0.7709999999999999,let snake house bet kill bugger hand rage huckfp
so ef whichever butt wipe pulled the fire alarm in davis bc I was sound asleep #pissed  #upset #tired #sad #tired #hangry ######,anger,0.7709999999999999,ef whichever butt wipe pulled alarm davis bc sound asleep pissed upset tired sad tired hangry
"Why does @dapperlaughs have to come to Glasgow on a night I am working. I am fucking gutted, been waiting for an appearance for ages ",anger,0.733,doe come glasgow night working fucking gutted waiting appearance age
i feel furious,anger,0.7709999999999999,feel furious
Some Mexican ladies irritate the fuck outta me. Have a their own lil preschool of fucking kids for the welfare &amp; allllat smh.,anger,0.7709999999999999,mexican lady irritate fuck outta me lil preschool fucking kid welfare amp allat smh
Still can't log into my fucking Snapchat #Snapchat ,anger,0.7709999999999999,log fucking snapchat snapchat
I blame the whole season on Natalie! The season would have been so different had she not turned her back on her alliance! #pissed #bitter,anger,0.7709999999999999,blame season natalie season different not turned alliance pissed bitter
People irritate my MF soul,anger,0.7709999999999999,people irritate mf soul
Im so angry 😂🙃,anger,0.75,im angry
People fuckin irritate me,anger,0.75,people fuckin irritate
"@leesyatt you are a cruel, cruel man. #therewillbeblood #revenge",anger,0.84,cruel cruel man therewillbeblood revenge
That way ur so angry you can literally feel ur blood boiling,anger,0.75,way ur angry literally feel ur blood boiling
@KatzeAnilothei this amount of greedy mooching makes me snarl.,anger,0.75,greedy mooching make snarl
My mind is raging and i just want to end it all,anger,0.75,mind raging just want end
Absolutely fuming that some woman jumped into my prebooked taxi and drove off 😡,anger,0.75,absolutely fuming woman jumped prebooked taxi drove
I'm nothing but a hateful and bitter fag,anger,0.75,hateful bitter fag
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time! #angry #notfair #whypay,anger,0.75,need people hogging machine use machine time angry notfair whypay
@JrDingy96 Ikr people still got a grudge against him for no reason like wtf?!,anger,0.75,ikr people got grudge reason like wtf
@lynnew69 then he said talking about wills uncontrollable animals when moving to another link. These comments do not help! #fuming,anger,0.75,said talking will uncontrollable animal moving link comment not help fuming
@paulbushnell25 @EE bad news if ordered online it hasn't gone through same happened to me had to re order on the phone #furious,anger,0.8440000000000001,bad news ordered online not gone happened order phone furious
So angry I wanna cry😢😢😢,anger,0.75,angry wanna
OOOOOOOOH MY GOD UUUUGGGGHHHHHHHHH ,anger,0.75,ooh god uugghh
Boycotting @DunkinDonuts till butter pecan comes back. I am furious,anger,0.75,boycotting till butter pecan come back furious
"In 2016, Black people are STILL fighting to be recognized as human beings. #cantsleep #angry",anger,0.885,black people fighting recognized human being cantsleep angry
my mom cut my phone off and I'm so furious 🤗,anger,0.75,mom cut phone furious
Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75,thing feed naay raging brother filling gap
can't believe Achilles killed me! #angry,anger,0.75,believe achilles killed me angry
I lost a couple niggas I want revenge so put me in coach,anger,0.875,lost couple nigga want revenge coach
@mjmralph then it's poor packaging my Amazon and the fulfilled seller should be furious as much as you 😕,anger,0.75,poor packaging amazon fulfilled seller furious
Where's your outrage when a black man kills another black man in the streets?,anger,0.75,outrage black man kill black man street
it makes me so fucking irate jesus. nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,make fucking irate jesus calling ppl like hajime abusive stop strawman lmao
Absolutely fuming I've just scratched all my car 😡😡😡😡😡😡,anger,0.75,absolutely fuming just scratched car
@Ms_HeartAttack holy shit it just a bee sting like fuck you're not dying,anger,0.5529999999999999,holy shit just bee sting like fuck not dying
How the fu*k! Who the heck! moved my fridge!... should I knock the landlord door.  #mad ##,anger,0.7290000000000001,fuk heck moved fridge knock landlord door mad
I dislike people who get offended by the littlest shit .,anger,0.7290000000000001,dislike people offended littlest shit
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work #furious #hangry #day5",anger,0.7290000000000001,fuck supposed lunch dinner money work furious hangry day
"@justyne_haley it does. if one person ruins season 13 for me, I will be so angry",anger,0.7290000000000001,doe person ruin season me angry
"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.7290000000000001,fuck supposed lunch dinner money work hangry day
@firstleeds not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work #fuming #useless reply,anger,0.8640000000000001,not bus unreliable e ticket app unable bus late work fuming useless reply
So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted #offended,anger,0.7290000000000001,indian uber driver just called n word not moving vehicle jumped disgusted offended
"The liberal outrage over don king saying the N-word really angers me. The white yuppie progressives can go fuck themselves, shame on blacks",anger,0.863,liberal outrage don king saying nword really anger me white yuppie progressive fuck themselves shame black
Just paid for chicken at @panerabread and didn't even get any 😑😑😑 there goes 4 dollars and me as a customer #angry,anger,0.7290000000000001,just paid chicken did not go dollar customer angry
but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.7290000000000001,mistake half assed excuse burning hell forever
@ManUtd you have had from me over the years is irrelevant. Its an absolute joke. #manutd #ticketing #fuming #noloyalty #joke #notimpressed,anger,0.873,year irrelevant absolute joke manutd ticketing fuming noloyalty joke notimpressed
@hollyrobinson__ Part 2-was buzzing for a cheeky squashie or two-this was NOT what i expected.SORT IT OUT! #food #angry  @coopuk @coopukfood,anger,0.5379999999999999,wa buzzing cheeky squashie twothis not expectedsort out food angry
"Tasers immobilize, if you taser someone why the fuck do you need to shoot them one second later?! This is really sick!  #wtf #murder",anger,0.7290000000000001,tasers immobilize taser fuck need shoot second later really sick wtf murder
Bes! You don't just tell a true blooded hoopjunkie to switch a f*c@n' team that juz destroyed your own team. You juz don't! ,anger,0.7290000000000001,be not just tell true blooded hoopjunkie switch fc team juz destroyed team juz not
@ChurdAllan fucked my coupon that goal! #raging,anger,0.7290000000000001,fucked coupon goal raging
LVG bribed all the refs against Utd for his own personal revenge. That was a foul you prick.,anger,0.7290000000000001,lvg bribed ref utd personal revenge foul prick
"Now that the whole clown rage has scared me shitless, I'm gonna go cry in my room",anger,0.7290000000000001,clown rage scared shitless gonna room
Worst juror ever? Michelle. You were Nicole's biggest threat. #bitter #bb18,anger,0.7290000000000001,worst juror ever michelle nicole biggest threat bitter bb
Your twitter picture just makes me fume.,anger,0.7290000000000001,twitter picture just make fume
"@leesyatt you are a cruel, cruel man. #therewillbeblood ",anger,0.775,cruel cruel man therewillbeblood
"That's really it for my madden career that game sucks , ea sports does a piss poor job every year on that shit",anger,0.867,really madden career game suck ea sport doe piss poor job year shit
"@NeoFundie @fitchest Ha. Right. I'm from San Jose, CA, and I was offended right there with you. Dave, go on a walk or something next time.",anger,0.831,ha right san jose ca offended right you dave walk time
@FitnessFirstAU something needs to be done about people hogging machines - nobody can use 3 machines at one time!  #notfair #whypay,anger,0.708,need people hogging machine use machine time notfair whypay
I wonder what American city will be next to protest about police shootings. Who's next? Smh. #whenwillitstop #angry #howmanymoretimes,anger,0.708,wonder american city protest police shooting next smh whenwillitstop angry howmanymoretimes
@politico @realDonaldTrump another angry white man!,anger,0.708,angry white man
Have wee pop socks on and they KEEP FALLING OFF INSIDE MY SHOES #rage,anger,0.759,wee pop sock falling inside shoe rage
"The majority of people irritate the fuck out of me, cba with people ahahah",anger,0.862,majority people irritate fuck me cba people ahahah
@oscar_perria a multimillionaire spoiled brat who gets In a self righteous huff bc his friend is Muslim is a non starter bye!,anger,0.708,multimillionaire spoiled brat get self righteous huff bc friend muslim non starter bye
Wont use using @mothercareuk @Mothercarehelp again!! These guys cant get nothing right!! ,anger,0.708,wont use using again guy right
@kingvee_ don't provoke me to anger,anger,0.708,not provoke anger
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,complain time wonder people want you acc rile up stfuu
Bloods boiling,anger,0.708,blood boiling
"Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet",anger,0.708,leave there rulenimber carpet cleaning furious worsethananatomicbomb accidentlyspillbeeronthecarpet
@DarkLuneFantasy wallah my blood is boiling I need to take a nap ugh,anger,0.8170000000000001,wallah blood boiling need nap ugh
I swear if @devincameron23 blocks me I'm going to hit her back ,anger,0.708,swear block going hit
"@jennylhowe I am angry at the student for being a racist, and the teacher for not stopping it, and at the class for letting it go by.",anger,0.708,angry student racist teacher not stopping it class letting by
I'm about to block everyone everywhere posting about the storm. I think everyone is aware of the damn rain and what not so quit. #damn #rage,anger,0.708,block posting storm think aware damn rain not quit damn rage
I'm just a fuming ball of anger today 🙃,anger,0.708,just fuming ball anger today
I didn't find out about this till today due to my bff telling me. I am so disgusted and offended by this.,anger,0.75,did not till today bff telling me disgusted offended this
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks #angry,anger,0.688,thanks saying wife getting iphones today losing eta thanks angry
A @FirstBSA not turning up? Why am I not surprised. Late for work again! #fuming,anger,0.688,not turning up not surprised late work again fuming
Police Officers....should NOT have the right to just 'shoot' human beings without provocation. It's wrong.\n\n@ORConservative @MichaelaAngelaD,anger,0.688,police officersshould not right just ishoot human being provocation wrongnn
... flat party and I instantly get bollocked about it. #fuming,anger,0.69,flat party instantly bollocked it fuming
@XemitSellsMagic add tracking but resent them,anger,0.688,add tracking resent
@FoxNews @SheriffClarke @FoxNewsInsider This man is an affront to our justice system.,anger,0.688,man affront justice system
"SOMEONE LET SNAKES IN MY HOUSE, I BET IT @Ya_Boi_Huck I KILL THAT BUGGER WHEN I GET MY HANDS ON HIM  #HuckFP2",anger,0.764,let snake house bet kill bugger hand huckfp
"@ChronAVT ummm, the blog says 'with Simon Stehr faking 7th'...I'll expect an investigation forthwith. This is an #outrage",anger,0.688,umm blog say with simon stehr faking thi expect investigation forthwith outrage
@GroupAnon black armed thug with a record carrying gun illegally gets shot by black cop. #outrage   This is a joke.Let em destroy their town,anger,0.688,black armed thug record carrying gun illegally get shot black cop outrage jokelet em destroy town
..... wakes up and says 'have you tried changing her nappy?' 😡👊🏼 #rage!!!!,anger,0.688,wake say have tried changing nappy rage
Someone needs to tell Candice she'll be stuck with that shitty pout if the wind changes. #GBBO,anger,0.688,need tell candice stuck shitty pout wind change gbbo
