Text,Label,Score,text_cleaned
I feel like I am drowning. #depression #anxiety #falure #worthless,fear,0.979,feel like drowning depression anxiety falure worthless
I get so nervous even thinking about talking to ****** I wanna die,fear,0.979,nervous thinking talking wanna die
I lost my blinders .... #panic,fear,0.975,lost blinder panic
I feel like I am drowning. #depression  #falure #worthless,fear,0.938,feel like drowning depression falure worthless
This is the scariest American Horror Story out of all of them... I'm gonna have to watch in the daytime. #frightened,fear,0.938,scariest american horror story them gonna watch daytime frightened
@mgcsartwork I nearly started crying and having a full on panic attack after tatinof bc of the crowds so I feel him,fear,0.938,nearly started cry having panic attack tatinof bc crowd feel
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM #fear #SingleGirlProblems,fear,0.938,finally tell therapist sexuality frontier not sure fear singlegirlproblems
@laura221b I don't think I've ever moved so fast in a panic in all my life 😂 Gave me such a fright 😓,fear,0.938,not think moved fast panic life gave fright
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... #terrible,fear,0.938,bus car crash shaking bit week absolute horror icing cake terrible
My bus was in a car crash... I'm still shaking a bit... This week was an absolute horror and this was the icing on the cake... ,fear,0.92,bus car crash shaking bit week absolute horror icing cake
procrasting is fun until im an hour away from the time its due and i still havent finished so i have a panic attack,fear,0.92,procrasting fun im hour away time havent finished panic attack
My #anxiety is rising tonight and I'm not sure why. Sometimes I wonder if I'm a magnet for any free-floating anxiety in the universe.,fear,0.917,anxiety rising tonight not sure why wonder magnet freefloating anxiety universe
"Im not a #nervouswreck, Im a #nervous #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,0.917,im not nervouswreck im nervous pileup goingcrazy helpme insane antisocial
#panic Panic attack from fear of starting new medication,fear,0.917,panic panic attack fear starting new medication
Job interview in the afternoon #nervous #ek,fear,0.917,job interview afternoon nervous ek
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me ,fear,0.917,mad lost track brown spider brown carpet did go sneaking
anxiety level- 100,fear,0.905,anxiety level
Wah just woke up frm a fucking nightmare,fear,0.898,wah just woke frm fucking nightmare
I get so much PUSSY\nP - panic attacks \nU - uncontrollable anxiety \nS - suicidal fantasies \nS - sadness \nY - yearning for death,fear,0.8959999999999999,pussynp panic attack nu uncontrollable anxiety n suicidal fantasy n sadness ny yearning death
Cosplaying properly for the first time on Saturday! Pretty nervous..,fear,0.8959999999999999,cosplaying properly time saturday pretty nervous
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate #despair",fear,0.8959999999999999,surrounded trump voter right fucking terrifying redstate despair
"Ignored broken tooth for so long, now have abscess. Need dentist but #fear makes it hard for me to go..45 and still can't go to dentist",fear,0.8959999999999999,ignored broken tooth long abscess need dentist fear make hard go dentist
@RogueCoder250 We are in so much trouble!! I don't think the Rev will see the funny side of our project. #nervous,fear,0.8959999999999999,trouble not think rev funny project nervous
im crying katherine is the only one whos like talking to me during my anxiety attack im gonna faint,fear,0.8959999999999999,im cry katherine who like talking anxiety attack im gonna faint
"Ever been really lonely and your phone keeps blowing up, but you just can’t pick it up and respond to people? #anxiety #recluse  #issues",fear,0.893,really lonely phone keep blowing up just pick respond people anxiety recluse issue
Super shitting it about this tattoo #nervous,fear,0.88,super shitting tattoo nervous
Breaking out in hives for the first time since college finals. #anxiety sucks,fear,0.88,breaking hive time college final anxiety suck
@tchop__StL @YouTube \nI get sick to my stomach everytime I see this video &amp; for the helicopter crew to make such comments is revolting.,fear,0.875,ni sick stomach everytime video amp helicopter crew make comment revolting
I am beyond mad that I lost track of a brown spider in my brown carpet. Where did you go? 🕷 will be sneaking up on me #frightened,fear,0.875,mad lost track brown spider brown carpet did go sneaking frightened
6. 5 minutes to perform and I'm #nervous I wish these noises would stop #handicapped #annoyed,fear,0.875,minute perform nervous wish noise stop handicapped annoyed
I hate when people say 'I need to talk to you or we need to talk.' My anxiety immediately goes up...,fear,0.875,hate people say i need talk need talk anxiety immediately go up
He replied to my comments 4 times now i'm shaking omg,fear,0.875,replied comment time shaking omg
"Being stuck in the roof of your house provides amazing view but sheer terror of falling down, kinda like life",fear,0.875,stuck roof house provides amazing view sheer terror falling down kinda like life
Just want Saturday to be over but then again I want to do good #LSAT #nervous,fear,0.875,just want saturday want good lsat nervous
"Im not a #nervouswreck, Im a  #pileup. #GoingCrazy #HelpMe #Insane #Antisocial",fear,0.875,im not nervouswreck im pileup goingcrazy helpme insane antisocial
I was literally shaking getting the EKG done lol 🙄,fear,0.875,literally shaking getting ekg lol
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 #horrific,fear,0.875,thanks ryan amp brad scary shit episode not think heart make s horrific
@officialShaky 'Operation Echoes' is gathering momentum ... #tense #nervous #feelsick #excited,fear,0.875,operation echo gathering momentum tense nervous feelsick excited
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit ",fear,0.875,weirdwednesday okay jumpscared poop right there bad dog bad total codebrown favorite pant damnit
@RosieBalls I fear for the future of mankind,fear,0.87,fear future mankind
First day of college feeling nervous,fear,0.865,day college feeling nervous
"i might have #hysteria ,i don't kno if it's just #anxiety or both,..need a diagnosis cuz somethin' is messed up,need ert bu i nvr come out",fear,0.86,hysteria i not kno just anxiety bothneed diagnosis cuz somethin messed upneed ert bu nvr come
@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,fear,0.86,shake point parent calm calming tablet
Gonna get some acupuncture today for all my damn anxiety 🙃🤕,fear,0.8540000000000001,gonna acupuncture today damn anxiety
#AnthonyWeiner #DISTRACTION #what is really going on? #selection #election #Syria #terrorism #race #riots #GasCrisis2016 #NoDAPL #rape,fear,0.8540000000000001,anthonyweiner distraction really going on selection election syria terrorism race riot gascrisis nodapl rape
@p4pictures it would be great but what if the card crashes 😱. It's happened to me twice #nightmare,fear,0.8540000000000001,great card crash happened twice nightmare
@corruptmelon now im feeling the #worry,fear,0.8540000000000001,im feeling worry
That feeling you get when you know the information but scared you might do bad on a test #collegelife #nervous 😥😥,fear,0.8540000000000001,feeling know information scared bad test collegelife nervous
i had a hard time falling a sleep and woke up several times because i was afraid of bugs crawling on me and i ended up waking up with a bite,fear,0.8540000000000001,hard time falling sleep woke time afraid bug crawling ended waking bite
White Americans are worried about Arab terrorists. Black Americans are fearful of a terrorist in a Police uniform on a daily basis.,fear,0.8540000000000001,white american worried arab terrorist black american fearful terrorist police uniform daily basis
Today was horrible and it was only half a day,fear,0.8540000000000001,today horrible half day
"#ObamaLegacy - weekly #riots and #terror attacks, &gt;400k dead #Syrians, #Jews fleeing #persecution in Europe, #Christian #genocide in ME.....",fear,0.8540000000000001,obamalegacy weekly riot terror attack gtk dead syrian jew fleeing persecution europe christian genocide me
"bad news fam, life is still hard and awful #depression #anxiety #atleastIhaveBuffy",fear,0.8540000000000001,bad news fam life hard awful depression anxiety atleastihavebuffy
@RoseTintMyWorId fucking hell mate absolute nightmare 😓,fear,0.8540000000000001,fucking hell mate absolute nightmare
"@Markgatiss I'm surrounded by those Trump voters. You're right, it is fucking terrifying. #redstate ",fear,0.8540000000000001,surrounded trump voter right fucking terrifying redstate
Life long fear of havin a shit and a spider crawls up ya bum,fear,0.8540000000000001,life long fear havin shit spider crawl ya bum
"What a shamefull, unequal, dangerous and worrying world we live in nowadays!  #terrifying #Charlotte #terrorism #shitworldforourkids",fear,0.8540000000000001,shamefull unequal dangerous worrying world live nowadays terrifying charlotte terrorism shitworldforourkids
@AHSFX thanks Ryan &amp; Brad for scary the shit out of us in the first episode. Don't think my heart will make it through the s6 ,fear,0.8540000000000001,thanks ryan amp brad scary shit episode not think heart make s
"I start work tmrw yall, i'm nervous lol",fear,0.8540000000000001,start work tmrw yall nervous lol
I Don't know what make #Pakistan fear more their #terrorist or their #terrorism  #TerrorStatePak,fear,0.846,not know make pakistan fear terrorist terrorism terrorstatepak
"@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain, #anxiety #iamkratom",fear,0.845,ban go through harm people disabled veteran people chronicpain anxiety iamkratom
Wish I could convince the rest of my children to go to their fucking preschool and elementary schools with fear of gun violence.,fear,0.84,wish convince rest child fucking preschool elementary school fear gun violence
I had a panic attack when I couldn't find @katrinalaw on #Twitter Turns out my Twitter is a jerk. I can still see her. #NyssaAlghul #panic,fear,0.833,panic attack not twitter turn twitter jerk her nyssaalghul panic
Now this is getting out of hand. I'm freaked out by this death...and I'm God!! #mommaGrendel #intimidation,fear,0.833,getting hand freaked deathand god mommagrendel intimidation
Saga: When all of your devices and teles fail just in time for bake off #panic #gbbo,fear,0.833,saga device teles fail just time bake panic gbbo
Feeling like I've had the worst night of sleep ever - not great before the #London to #Brighton #cycle ride for @DMTFYP 🚴100k ?,fear,0.833,feeling like worst night sleep not great london brighton cycle ride k
Do you think humans have the sense for recognizing impending doom? #anxiety,fear,0.833,think human sense recognizing impending doom anxiety
I have to finally tell my therapist about my sexuality ... last frontier ... not sure I can do it in the AM  #SingleGirlProblems,fear,0.833,finally tell therapist sexuality frontier not sure singlegirlproblems
im literally shaking bc im nervous and bc its fucking cold oh how i love life,fear,0.833,im literally shaking bc im nervous bc fucking cold oh love life
I feel horrible. I have accounting today but physically and mentally am not okay 😪,fear,0.833,feel horrible accounting today physically mentally not okay
@BigBossPeltonen \nLikewise #death #cutting #despair,fear,0.833,nlikewise death cutting despair
I am about to be a coward and I feel terrible. But I can't even face this 😭,fear,0.833,coward feel terrible face
"#WeirdWednesday OKAY! That jump-scared the #Poop out of me right there. Bad dog, BAD! Total code-brown in my favorite pants. #Damnit #horror",fear,0.833,weirdwednesday okay jumpscared poop right there bad dog bad total codebrown favorite pant damnit horror
@BBCPolitics @BBCNews I'd rather leave my child with @BorisJohnson #shudder,fear,0.833,leave child shudder
@OutdoorLoverz is this a bridge if I have to drive on such I will stop breathing Yooo I can't I'm to afraid,fear,0.833,bridge drive stop breathing yoo afraid
My roommate talks and laughs in her sleep. It never fails to scare the shit out of me. 🙅🏽😳,fear,0.833,roommate talk laugh sleep fails scare shit me
I had a dream that I dropped my iPhone 7 and it broke T_T #cry #iPhone7 ,fear,0.833,dream dropped iphone broke tt iphone
I just deleted my save file trying to load it up. Now I have to start. All. Over. Again. I am going to freaking kill someone. Pray for me.,fear,0.82,just deleted save file trying load up start all over again going freaking kill someone pray me
@RossKemp Omg that is just horrific. Something needs to be done. 😢,fear,0.82,omg just horrific need done
I'm getting so nervous for my first anatomy exam 😩,fear,0.812,getting nervous anatomy exam
