Text,Label
Today in Selfcare: beauty &amp; laughs Kung Fu Panda 3 #Wellness #joy #laughter #selfcare #therapist #philadelphia,0
I get to spend New Year's home again alone and lonely. ???• ,1
"Depressed and lonely /: Stuck in a deep, never ending hole :(  ",1
"If this is your response to someone saying they're dealing with , you're a terrible person.  ",0
Apparently you get a free pass just by mentioning    Where was I on the free badge day??!!,0
When you will never again give birth to violent men..   pic.twitter.com/pkdPhhlUuZ,0
Learning to pretend to have a good time had become a natural skill. I hope one day it is genuine,1
Aw man im outta pizza rolls ,0
When you go out and try to be a part of life & end up feeling like you are less a part of it then when you started.   pic.twitter.com/J625NXrWDb,0
So far he stop texting me…after I said something…so hopefully he doesn't show up at my house…,1
Portable Transparent Tobacco Rolling Machine  pic.twitter.com/k7Sb0Q11fW,0
*sigh* ???? I haven't cried so much…I'm in so much pain…,1
Our last group of 2016 was our new  project (even more relevant at this time of year) & they laid on some welcoming festive food  pic.twitter.com/AOwwxTDona,0
@MargoGray48 @waff48 @trentnews @katcampbellwx Good morning Margo! We are😀have a terrific Tuesday dear,0
I'm so  that I dropped my phone in the toilet.... I'm no longer  for now....  ugggh,0
"Me and @DicksonEmily's snap streak is at 260, if that's not amazing I don't know what is #commitment",0
Carly &amp; Theo Blair! Carly was camera shy but still enjoyed playing with her brother here at The Dog House Pet Resort!,0
"If optimism is the ??—� to success and if you can achieve a + outlook through positive thinking, there is no excuse for failure. ",0
Thank god the last presentation is over! âœŒ tomorrow is our last day at uni this year. We really need a few days off.  ,1
Plum Blossom Patterned White Ceramic Smoking Pipe  ,0
"No, I'm not 'depressed because of the weather,' I'm depressed because I have #depression #sicknotweak",1
should of just slept through this charger game ,0
You got me w that one @AmazonPrime ! New #theTICK trailer is #hilarity,0
Very sad day in Edmonton!  Praying for all who lost their lives.  ,1
"@na_dirs Omg you're savage prof, this is hilarious 🤣🤣",0
It's been a strange year. I beat  at last. I started 2 believe that  it really is2017 I'm ready ???…,0
Losing my uncle after the wedding its just....I dunno ,1
If youre  youre living in the past. If youre  youre living in the future.  If youre at  youre living in the present,0
Nobody cares in real life and nobody cares here. I'm gonna stop sharing my nightmares to people who are more worried about likes than actually helping a person out.,1
Saturday nigjt watching this is england 90,0
"""I'm telling you, the  eats you alive""",0
@TheSocialCTV I'd never leave the couch again! #excited and #weary ❤️,0
Today is already off to a great start..... 🙄 ,0
" is dangerous. Itâ€™s addicting. Once you see how peaceful it is, you donâ€™t wanna deal with  ",1
"My wish for 2015 is that no one suffering from  should EVER feel alone. That they would receive help, love, support & kindness.",0
"@WorldFringeDay Heehee. I did chuckle to myself when i saw what it actually was, so you did get a laugh out if me. \n😀",0
  How come I see no value in my own life...?  It feels like I was born this way; seeing no self values.,1
Today is already off to a great start..... 🙄 ,0
@honeyfriess Now that's a #HappyThought to start your week!,0
Once a flirty always a flirty  .,0
"Sometimes I want to apology just to make things better.  I have nothing to apologize, very opposite of that, I deserve an apology.  But my heart smells of loneliness and desperation...  ",1
Hello everyone! How are you? Sinong excited na for live shows? Hahaha don't worry we are too 😃😬,0
Been kicked to the kerb by a big company yet again in my quest 4 a decent job,1
I really got a hair cut last night  ??,0
"Just Paracetamol is Anti-pyritique, cant anawer correctly due to too much nerve. What a shame!!! ",0
is in the news a lot for treating  and other conditions; but what is it? Contact us to learn more! ,0
"@FairtradeUKNews @adamawine Wishing you a joyful day with great food, wine and company 👌",0
Heard a person detailing his branded cloths arrogantly today. It sounded more like him wearing  instead of cloths. ,0
It's a #blessing to love it's a blessing to have someone to love,0
Good nite.                                         ,0
