Text,Label,annotator_1,annotator_2
Making a present! ,0,0,0
@sids anytime mate ,0,0,0
@Bradleysanborn Depression is a myth,1,0,0
Lol my depression is hitting me hard,1,1,1
Ready for my first long run in a month.  Nothing better than putting in 10+ miles on a saturday morning.  Well maybe some things ,0,0,0
@xotaylorlongxo haha i will if i can!  ill text you before i board the plane,0,0,0
another 30 mile bike ride to Mequon and back - took a much more sane route   Lake Drive back into town is awesome!,0,0,0
CALI JULY 2- 6 &amp;&amp; VEGAS AUG 28TH -31ST ,0,0,0
National #Suicide Hotline: 1-800-273-8255 (#Logic Live At The #MTV VMAs / 2017) #MentalHealth #Depression #BipolarBrave,1,0,0
@xykobas3rd I won't....that would not be fun! And I already have a hangover. Haha. ,0,0,0
"Check out Heart Of Love Evolution: Surviving #Depression  http://amzn.to/2spiFNmÂ  Depression is the giving up of hope, the belief that no one cares for you, and the thought that suicide is the only way out #yeg #yyc #yvr",1,1,1
@mommysnacks  Did you mean to make your blog invite only? I had one of your readers email me by mistake asking for permission to read it. ,0,0,0
Depression is wild like seriously had a really bad start to my day and then in the middle of my day I cried my eyes out for a good 30 minutes but after that the rest of my night has been pretty solid and I've enjoyed it. Wild stuff,1,1,1
@Startatone how about a non-fat chai tea latte?  ,0,0,0
"Graphs of your Etsy Shop Sales - coming soon to Yaami.com, more details soon ",0,0,0
"When Friends Struggle With Depression, This App Helps Avoid Potentially Harmful Phrases  https://goo.gl/fb/HcQhWKÂ ",1,0,0
just napped so hard that he slept on top of his keys. :S now off to magoffin! ,0,0,0
High income reduces #depression risk for #Whites but not #Blacks. by @assarish http://www.mdpi.com/2227-9032/6/2/37Â â¦,1,0,0
After witnessing so much injustice and suffering eventually that leads to depression,1,0,0
@aySkillsz  aw im wonder woman now...i do have boi shorts wit stars on it lol,0,0,0
@AydinPaladin @vadimnewquist @Toxic_Fem @WaitImCurious You got the quote wrong first of all and secondly where were all of you assholes when her and her ilk pushed a person who im glad called me a friend into depression? Where was your moralist boner then?,1,0,0
I'm in love with contemplating about the pressure conversations about depression confrontation cause we care too much about each other,1,1,1
@AnnablazE_ Its just small depression <Emoji: Weary face>,1,1,1
Our CMO @DrEvianGordon shares concrete strategies for beating the blues:  http://bit.ly/2I0KgZdÂ  #mentalwellness #training #brainhealth #depressed #depression #mindmatters #keeptalkingMH #Whatyoudontsee @amyzellmer,1,0,0
Volunteering 2 day at my sis's school. ,0,0,0
"@Sog_Ola @babstoxyn @bimmyana @HayTeeHay @OVIWCE NOTE: Do not take mefloquine if you have a history of active or recent depression or other mental illness, seizures, or some types of heart-rhythm problems(arrhythmia).#ReadyToBeatMalaria #WorldMalariaDay #OVIWCE",1,0,0
"Finally got my hair sorted out  It's not Kristen Stewart's style but hey, it looks good...",0,0,0
"@aJackieLarsen @Nemosanartist @highwatermark_ Not everyone has the capacity to immediately understand all material taught to them.  Everyone has their strengths and weaknesses, and the stress from dealing with something that a person isn't generally good with can be overwhelming.  Also, depression sucks and causes crying.",1,0,0
"Ion think I'll ever forget my mom telling me depression is for the weak, no wonder she refused to let me see a therapist <Emoji: Upside-down face>",1,0,0
"Depression is never easy and will never be easy.Please, take actions if you know someone who has it.",1,0,0
HAH it's a whole depression day i'm gonna go Cry My Eyes Out in a tiny bathroom cubicle see you later sisters,1,1,1
follow @yoware à¹€à¸«à¸¡à¸·à¸­à¸™à¸ªà¸¡à¸±à¸„à¸£à¸£à¸±à¸šà¸‚à¹ˆà¸²à¸§à¸—à¸²à¸‡ sms à¹‚à¸”à¸¢à¹„à¸¡à¹ˆà¸•à¹‰à¸­à¸‡à¹€à¸ªà¸µà¸¢à¹€à¸‡à¸´à¸™à¹€à¸­à¸‡ ,0,0,0
"R 30th wedding <Emoji: Bride with veil> anniversary's 2 morrow. How she's put up with me, b n bipolar/depression,I just don't know.",1,0,0
@nerdonabudget This is why I have depression <Emoji: Pouting face>,1,1,1
@_is_depression EXACTLY!!! I have never heard someone explain it that way but that's exactly how I explain it to my husband. It's sad there aren't more mainstream books for the real person with real problems. Depression isn't playing the victim which sometimes people and things explain it to be.,1,0,0
@selenagomez I LOVED that movie!!! Zac is awesomeee ,0,0,0
"RT @cognitive2018: Mother's #Depression May Negatively Impact Child's IQTo know more information about #Neurology and  #Neurocognitivedisorders , do visit :â¦â¦ https://neurocognitivedisorders.conferenceseries.comÂ  According to the CDCP, mother's depression negatively affect a châ¦  pic.twitter.com/xXHdyuaI09",1,0,0
I'm pretty sure this is a sign of depression  pic.twitter.com/t01Rmp4oq0,1,0,0
@moodysgartner @ziyatong Exactly... that's my point. We are trying to get China off of coal... health.  We are trying to have money in our economy so we have tax revenue to fund hospitals and doctors.... health. We want neighbours to provide for their families and avoid depression & suicide... health.,1,0,0
"worked my whole shift with my crush tonight  according to crush, i have shiny hair! yay me  haha",0,0,0
is loving how sunny it is - even if in work - it's still nice to look at ,0,0,0
"Has anyone stopped to think Kanye might be bipolar? Racing thoughts, so my energy he's taking on all these albums (during mania), followed by a deep depression.",1,0,0
@ChiangMaiOnline Thanks! That's definitely helpful! ,0,0,0
Watching the steam trains go back and forth in Ravenglass - sunny! ,0,0,0
@nicolerichie what if one of the adults actually needed that hug and didnt wanna ask for it. just give the hugs ,0,0,0
oh wow. nakakaiyak pala yung he's just not that into you.  http://plurk.com/p/yty00,0,0,0
@lesliedoughty The dates are Sept. 24-27 and I will open registration very soon. I just need to finalize contract with the host hotel. ,0,0,0
"@nerdy_passion Bullcrap you don't miss us. Do you know how much trouble you caused? You caused the server to die and caused me to go into spiraling depression, came into my house and accused me of crap I didn't do to you, etc. Never contact me after this.",1,1,1
"@WingsGrow bummer. well yeah, chatting whenever when you get home then ",0,0,0
Is there still a stigma around depression in the workplace? Read what we have to say  https://buff.ly/2GHTiK8Â  #employmentlaw pic.twitter.com/V9qH2ZACvF,1,0,0
@Maiyab Am checking out your Blip playlist now! I'm sure you'd make a great store though - while earning real kudos &amp; legal free music ,0,0,0
Using drugs to avoid depression,1,0,0
"Check out 2007 Handwritten Personal used Diary Journal, sex, love, depression, mental i  https://www.ebay.com/ulk/itm/263629233337Â â¦ @eBay #diary #journal #HERstory #lists #food-diary",1,0,0
my depression is basically nonexistent these days so am i in the clear to finally say i beat it and i fuckin made it??? cause i feel like i finally reached that point,1,1,1
Farmers urged to talk to allay depression fears -  http://FarmIreland.ieÂ  http://ow.ly/gH6m30jFrifÂ ,1,0,0
@tommcfly Hi Tom! I was in Leicester to see you guys! ;) All the way from Denmark!!! And it was the all worth  THANK YOU THANK YOU!!! ;D,0,0,0
@playspymaster sounds interesting! can i join? ,0,0,0
@koriannespeaks I plan on going. ,0,0,0
"Exercising regularly cuts risk of depression by 16%, study suggests  http://news.sky.com/story/exercising-regularly-cuts-risk-of-depression-by-16-study-suggests-11346264Â â¦",1,0,0
thinks that enough tweaking the twitter home page....might be too David Salle. ,0,0,0
"Just back from a lightening visit to Dublin, my brand new baby niece is a peach  That just wasn't enough time... ",0,0,0
"@krassenstein Honestly I think it was #Trump's dandruff and he was trying to be slick, why else would he touch him so much and caress his hands, unless some of my other theories are true. That might or might not explain #Melania's depression, maybe she would prefer he was gay",1,0,0
"#Depression affects up to 20%, and #anxiety 10%, of patients with #cancer, compared with figures of 5% and 7% for past-year prevalence in the general population. https://www.bmj.com/content/361/bmj.k1415Â â¦",1,0,0
"@WarrenYip DRIP, NEW ORLEANS ICE COFFEE, LATTE, MOCHA. for the first 4 times you go  you're lucky they are popping up all over the place!",0,0,0
"@Medscape @ajbrzski @AngrierThanMost Lol. I'd much rather not put any neurotoxins in my body regardless of dose. Fact is it IS a neurotoxin buddy. - lowers IQ - connected to adhd and depression.. I'll pass. Like I've said. You do you, I'll do me. Good luck.",1,0,0
"Parents... don't miss this information night! Learn about your kids & how to protect them from addiction, anxiety, depression and tech/cyber harm !!  pic.twitter.com/1jL7A5jVd4",1,0,0
@sherylunderwood I know you are a praying woman please pray for me I'm going through depression bad something got to give can't take much more. Just keep me in your prayers. And I'm not going to do harm to myself.I lost my wife last year. It is been rough we were married 41 years,1,1,1
Depression is no joke,1,0,0
"Is on her way to church!  wow i am so sore from jogging, skating and bowling!",0,0,0
I would just like to say that I have THE best friend in the whole world...literally  I lovesss you &amp; I'm glad you're feeling better ,0,0,0
Falling asleep here. So goodnight everyone ,0,0,0
"I wish I could sing!  I try but just don't have the pipes.  Think Justin, Martina or Reba would give me lessons?? ",0,0,0
@ringer @aherman2006 100%. It's depression porn.,1,0,0
#Depression has me good today. Feeling down about most things. Feeling like everything I do is for someone else and a waste of my time b/c it goes unnoticed and unappreciated. I know you've been there too. #MentalHealth,1,1,1
@megan_lanz great news!  thanks for the link!,0,0,0
Spaniards can notice my Galician accent when I speak English. They find it funny ,0,0,0
"@MailOnline And cause cancer, cause depression, trigger anxiety and possibly trigger schizophrenia.",1,0,0
"@kanyewest G. O. A. T fam,  your page just cured my depression. <Emoji: Face with tears of joy><Emoji: Face with tears of joy><Emoji: Face with tears of joy>",1,0,0
"Happy birthday to y bestfriend, Jacklyn Nicole DeCastro. I love you beezy ",0,0,0
1st Wedding Anniversary today   Here's to many more blissfully happy years together.,0,0,0
"@tommytrc Hiya, sir.  It's a beautiful day in Atlanta... Perhaps a bit on the hot side (around 90ish today), but no complaints from me ",0,0,0
@SongzYuuup what took you so long? ,0,0,0
Been a little quiet again since last weekends awesome workshop. Also a little blue (depressionâ¦  https://www.instagram.com/p/Bh_6Cd2lA93/Â ,1,1,1
A look into my life~                                      written by:depression,1,0,0
"Need a good web series? Check out GIANTS on YouTube. Channel: Issa Rae PresentsIt hits so many topics: Anxiety, Sexuality, Depression, Post-Grad Life, Spirituality, Friendships, Intimate Relationship and more from a black perspective. You will not be disappointed! #GIANTS",1,0,0
Found out last night that an old friend had bike crash and has broken neck and internal bleeding  Giving nurses hell coz he wants a fag ,0,0,0
me waking up from an 8 hour depression nap:  pic.twitter.com/lkz3KZqCw9,1,0,0
Clinical depression is the # 1 global leading cause of disability.,1,0,0
FINALLY got my heels for grad.  ,0,0,0
"ayo three 6 mafia, Keri Hilson, and GUCCI on a track?!?! I'm all ears for that one yall hurr up ",0,0,0
hey guess what my pills lower my sex drive so much and i hate it and i want to stop taking them but i can't because my depression is still up and kicking sigh someone make me horny pls it takes so much energy,1,1,1
: just got done spending the day wit my mom. We went out to eat &amp; went shopping!!  love you mom!!!!!,0,0,0
@pokerfacexxx i hate death metal ,0,0,0
@SerpentinexBLK Robin IS my fancy. Mmmm. &lt;3 ,0,0,0
"@kanter Here is the link to the post about CEOS Must Use Social Media (note survey at end of post, please  http://bit.ly/xb7Ww Thx!",0,0,0
@CharlotteLilly @goodlifegrspc @props4WAH @RavenSu @andykarelas @knittingnews @SusanCosmos thanks for the retweet ,0,0,0
About tear up this scrumptious ass depression sandwich,1,0,0
Exercising for 20 minutes-a-day cuts risk of developing depression by one third  https://www.telegraph.co.uk/science/2018/04/24/exercising-20-minutes-a-day-cuts-risk-developing-depression/?WT.mc_id=tmg_share_twÂ â¦ via @TelegraphSci,1,0,0
@Stray_Kids How to deal with metal illness or depression? #StrayKids #StrayQuiz,1,0,0
@PamelaKKinney.. Summer is finally here!!yeayyyyyy!!!.. I plan to do some traveling this summer.. ,0,0,0
Doing homework on a Friday night...and not even complaining ,0,0,0
"Just one puff of this type of cannabis 'could ease depression, stress and anxiety'  https://www.thesun.co.uk/news/6137739/cannabis-ease-depression-stress-anxiety/Â â¦",1,0,0
"Is thinking about piercing the otherside of her lip... YES, that bored... i want a snakebite piercing anyways, im already halfway there ",0,0,0
"@daisyrjordan   if Susan Boyle wins i will be like grrrr, annoyed :p.  She is okay but she doesn't have as much talent as the dancers  Xx",0,0,0
"Me after dealing with anxiety and depression, nd someone asks if I'm alright:  https://twitter.com/linongarchives/status/988125671833653249Â â¦",1,1,1
finds it interesting that a Vespa counts as a motorcycle in Maryland and Florida  AWESOME!!!!,0,0,0
I just woke up and I'm already thinking about taking a depression nap,1,0,0
The depression is real <Emoji: Loudly crying face><Emoji: Loudly crying face><Emoji: Loudly crying face> )),1,0,0
All this depression is no joke.. I'm breaking out so bad <Emoji: Disappointed face>,1,1,1
DEPRESSION MY NEW OBSESSION,1,0,0
distant myself for it then dwell on my misery and trigger my depression not that I have being happy or feeling good about myself these past days . So yeah I wanna take a break from it all and just spend time doing stuff I like/love,1,1,1
evens a really good depressed character btw like obvs everything in this show is unrealistic and pathetic but its good to see depression - especially manic depression - shown through a person instead of a film character yknow,1,0,0
"Hell isn't a location, it's a state of mind. Anxiety, fear, and depression are your demons. At the center of your problems, you're the one pulling the strings.",1,0,0
"@toodamnninja I've not used skitch before, let me try again  (5)",0,0,0
puzzle mv removed my depression,1,0,0
"(Rant) {I think...}People always ask me why I am always depressed or why I never talk much. And the answer is simple.Like most with severe depression and anxiety (as well as PTSD) we put up a wall around ourselves. It's hard to admit to others, but even harder to admit to...)",1,1,1
Exercising for 20 minutes-a-day cuts risk of developing depression by one third  http://ow.ly/WHDu30jFglSÂ  #health,1,0,0
I know someone that took 3 years to get over depression,1,0,0
I'm entering in depression I will never look this good <Emoji: Sleepy face>  https://twitter.com/diorsbitch/status/989203462310301696Â â¦,1,1,1
Do you work with teens? Want to know more about spotting signs of #depression in young people? These are 3 common symptoms to watch for   https://hubs.ly/H0bQ6wH0Â  #mentalhealth #mentalhealthawareness #mentalhealthtraining https://hubs.ly/H0bQ6wH0Â ,1,0,0
"Just one puff of #cannabis 'could ease #depression, #stress and #anxiety' https://www.thesun.co.uk/news/6137739/cannabis-ease-depression-stress-anxiety/Â â¦",1,0,0
@randomblink Hey Can you Follow me please ,0,0,0
Need to know more about spotting signs of #depression in young people? Does your work bring you into close contact with teens? These are 3 very common symptoms to watch for   https://hubs.ly/H0bQ6xh0Â  #communitymentalhealth #mentalhealthtraining #mentalhealtheducation,1,0,0
my depression has suddenly been cured  pic.twitter.com/PMcMtwBRYD,1,0,0
