1,depressed,pretend,Learning to pretend to have a good time had become a natural skill 
2,null,null,I hope one day it is genuine
1,null,null,So far he stop texting meafter
2,null,null,I said somethingso
3,null,null,hopefully he does not show up at my house
1,null,null,No  I am not wouldepressed because of the weather   I am depressed because I have depression sicknotweak
1,null,null,Nobody cares in real life and
2,null,null,nobody cares here 
3,null,null,I am gon na stop sharing my nightmares to people who are more worried about likes than actually helping a person out 
1,depressed,no value,How come I see no value in my own life  
2,null,null,It feels like I was born this way  seeing no self values 
1,null,null,Sometimes I want to apology just to make things better 
2,null,null,I have nothing to apologize  very opposite of that  I deserve an apology 
3,depressed,loneliness and desperation,But my heart smells of loneliness and desperation 
1,depressed,kicked to the kerb,Been kicked to the kerb by a big company yet again in my quest 4 a decent job
1,depressed,shcoking service,Absolutly shocking service from especially when owed 327 Expected better from a comp I ve dealt with 4 yrs unhappy badservice
1,null,null,This journey to become a YouTuber is not easy for me 
2,null,null,I walk with a purpose to fix me 
3,null,null,To record it  edit it  then post it for all to see ai not easy 
4,depressed,haters,I do it for the one person that needed the message not the haters 
1,null,null,Can I just stay in bed and 
2,null,null,do nothing
3,depressed,not feeling life,I am not feeling life today 
1,depressed,heartache,That moment when you get blindsided by something you was not expecting  now in a state of total disappointment  heartache 
1,depressed,fall hard,it sucks when you fall hard for someone  and
2,null,null,then they just leave you like it was nothing 
1,null,null,And now that I m
2,depressed,upset,having the other way around  i feel so upset and sad
1,null,null,Anyway  I walk around the house  and
2,null,null,I try not to look at things  try not to think of her 
3,null,null,But that is all I can do 
4,depressed,deep pain,All I do is feel this deep pain  this deep longing 
5,null,null,I see her again 
6,null,null,I remember when I was in Germany  and
7,null,null,she left 
1,depressed,sick,So sick of having the same new year resolution 
2,null,null,To get hitch  get love and 
3,null,null,be happy
4,null,null,maybe will be just staying alive 
1,null,null,When your scares get re opened an its like pooring salt in them 
2,null,null,I hate this feeling 
3,depressed,pain,All the pain i m in again
1,null,null,She would have some understanding 
2,null,null,But noone  noone is there 
3,depressed,busy,People have their own lives and their own busy schedules 
4,null,null,I have nothing but time 
5,null,null,Time to think about what I used to have and what I no longer do have 
6,null,null,I think  if I could only be with her again 
1,depressed,not talking,It used to be talking about nothing for hours  now it is just not talking 
2,null,null,Really  what happened  
1,depressed,cut my arm,I can tell by the end of the night I am gon na cut my arm
1,null,null,I want this to be a good day
2,depressed,pushing me down,but this monster keeps pushing me down
1,null,null,ha ha i just realised that i have never actually been to therapy
2,depressed,depressed,and i still do not know if i am depressed or just sad all the time
1,null,null,i feel like i am a prisoner of my own life 
2,depressed,life was a jail,like as if my life was a jail and i am doing a lifetime sentence
1,null,null,It is AmazonPrimeDay 
2,depressed,broke,And I am broke 
3,null,null,So in reality it just another day for me depressing
1,null,null,Ke
2,depressed,lonely,na le problem le guys  there are way too many of us in the world to have some people find themselves lonely and alone 
1,depressed,being ignored,If there is one thing I hate  its being ignored 
2,null,null,And everybody seems to be doing just that 
3,null,null,Ugh 
1,depressed,feel so dead,It is funny at night I hate sleeping but sleeping helps I just feel so dead now is there an explanation to this feeling 
1,null,null,My best friend died 10 years ago on this day in a car crash 
2,depressed,killing me,Y after 10 years is it still killing me 
3,null,null,Literally torn up Need HELP
1,null,null,jfc ANOTHER
2,depressed,depressed,bad morning I do nt even have anything to be depressed about oh hang on leaving me to fester under the poverty line for 10 years
1,null,null,41 year old woman wth chronic pain  and
2,depressed,crying everyday, I have noticed that I am not breaking down crying everyday  my mood seems to be more positive and the intense  intrusive thoughts are not as strong 
3,null,null,It is only been 6 micro doses
4,null,null,but I feel like I am seeing some improvement  
1,null,null, this year was fuckd up
2,null,null,I can not wait for it to be over
3,null,null,I hated this year
4,depressed,depressed,still depressed hard time getting over it   
5,null,null,fuck
1,null,null,I do not know anymore who I am in life because of my parents 
2,null,null,I do not know if I still own my life
3,null,null,the fact I feel shallow 
4,null,null,Why does life always seem to be unfair  to the point
5,depressed,feel nothing,u feel nothing 
1,null,null,Depression  SUCKS  
2,null,null,I would NEVER wish this on anyone  it just  sucks 
3,null,null,Tired of
4,depressed,controlling my life,it controlling my life  I really am  
1,depressed,reason to live,And literally 30 or more things that was the reason to live and how to not be but was not really AT ALL 
2,null,null,A for intent tho 
1,null,null,I went to church with my mom and a huge chunk of the sermon
2,null,null,was basically if you are it
3,null,null,is because your faith is weak and 
4,depressed,antidepressants,this is why I do not go to church or tell my mom I am on antidepressants  
1,null,null,I am watching my show and its still not keeping my depression and anxiety at bay 
2,depressed,stress,This stress is crushing me
1,depressed,not feeling well,I guess it is because I am not feeling well that I feel so low 
2,null,null,Throat is starting to flare
3,null,null,and I can not cope with it right now 
1,null,null,yeah
2,depressed,sad,I watch depressing films like cyberbully because I am sad and I can connect with it
1,depressed,argue,How would you feel if your parents were to argue each and every single day 
1,null,null,So just been looking at profiles of my other half
2,null,null,is family accounts on Twitter
3,depressed,ChronicPain,and i am extremely depressed that my life is full of ChronicPain 
4,null,null,I am not living a normal fulfilled life like they are 
5,null,null,Why is it taking over my existence  
1,depressed,crying,they do not see me when I am crying running a blade down my ankle  maybe then they would think twice before they said what they said
1,depressed,giving up,That feeling when everyone is just giving up on you
2,null,null,but you are still fighting for them 
3,null,null,argh
1,null,null,Guys  I have nothing to live for 
2,depressed,tired of living,I am tired of living here 
3,null,null,Even my friends could not cheer me up 
1,null,null,The worst thing about is that it teases you thinking you are getting better  but
